дхритараштрах увача  Z царь Дхритараштра сказал
 сварга  Z райских планет
 дварам  Z Врата
 апавритам  Z  широко открывающее
 сукхинах  Z счастливые
 кшатрийах  Z цари
 партха  Z о сын Притхи
 лабханте  Z обретают
 йуддхам  Z сражение
 идришам  Z такое
атха  Z поэтому
 чет  Z если
 твам  Z ты
 имам  Z это
 дхармйам  Z являющееся религиозным долгом
 санграмам  Z сражение
 на  Z не
 каришйаси  Z исполнишь
 татах  Z тогда
 сва-дхармам  Z  свой религиозный долг
 киртим  Z репутация
 ча  Z также
 хитва  Z  утратив
 папам  Z результат греха
 авапсйаси  Z обретешь
акиртим  Z позор
 ча  Z также
 апи  Z ведь
 бхутани  Z люди
 катхайишйанти  Z будут говорить
 те  Z о тебе
 авйайам  Z вечный
 самбхавитасйа  Z уважаемого человека
 ча  Z также
 акиртих  Z  бесчестье
 маранат  Z смерть
 атиричйате  Z превосходит
бхайат  Z из страха
 ранат  Z от боя
 упаратам  Z отказавшегося
 мамсйанте  Z будут считать
 твам  Z тебя
 маха-ратхах  Z великие военачальники
 йешам  Z которых
 ча  Z также
 твам  Z ты
 баху-матах  Z уважаемый
 бхутва  Z побывав
 йасйаси  Z придешь
 лагхавам  Z к ничтожности
авачйа  Z злые
 вадан  Z (лживые) речи
 ча  Z также
 бахун  Z многие
 вадишйанти  Z скажут
 тава  Z твои
 ахитах  Z враги
 ниндантах  Z осмеивающие
 тава  Z твою
 самартхйам  Z способность
 татах  Z того
 духкха-тарам  Z мучительнее
 ну  Z же
 ким  Z что (может быть)
хатах  Z убитый
 ва  Z либо
 прапсйаси  Z обретешь
 сваргам  Z  райское царство
 джитва  Z победив
 ва  Z или
 бхокшйасе  Z будешь вкушать
 махим  Z мир
 тасмат  Z поэтому
 уттиштха  Z  вставай
 каунтейа  Z о сын Кунти
 йуддхайа  Z для битвы
 крита  Z  неуклонна
 нишчайах  Z тот, чья решимость
сукха  Z счастье
 духкхе  Z и горе
 саме  Z одинаковые
 критва  Z  сделав
 лабха-алабхау  Z потерю и приобретение
 джайа-аджайау  Z  победу и поражение
 татах  Z потому
 йуддхайа  Z для битвы
 йуджйасва  Z сражайся
 на  Z не
 эвам  Z так
 папам  Z результат греха
 авапсйаси  Z обретешь
эша  Z этот
 те  Z тебе
 абхихита  Z описанный
 санкхйе  Z аналитически
 буддхих  Z разум
 йоге  Z в деятельности не ради плодов
 ту  Z но
 имам  Z этот
 шрину  Z слушай
 буддхйа  Z разумом
 йуктах  Z соединенный
 йайа  Z которым
 партха  Z о сын Притхи
 карма-бандхам  Z от бремени греха
 прахасйаси  Z оставишь
на  Z не
 иха  Z здесь (в этой йоге)
 абхикрама  Z от попыток
 нашах  Z утрата
 асти  Z существует
 пратйавайах  Z потеря
 на  Z не
 видйате  Z существует
 су-алпам  Z небольшое
 апи  Z даже
 асйа  Z  этой
 дхармасйа  Z деятельности
 трайате  Z спасает
 махатах  Z от величайшей
 бхайат  Z опасности
вйавасайа-атмика  Z развивший решимость (в сознании Кришны)
 буддхих  Z разум
 эка  Z единый
 иха  Z в этом мире
 куру-нандана  Z о потомок Куру
 баху-шакхах  Z у которых множество ветвей
 хи  Z поистине
 анантах  Z безграничные
 ча  Z также
 буддхайах  Z умы
 авйавасайинам  Z тех, кто не обладает сознанием Кришны
йам имам  Z ту, которую
 пушпитам  Z цветистую
 вачам  Z речь
 праваданти  Z говорят
 авипашчитах  Z люди со скудным запасом знаний
